column,dtype,missing_count,missing_pct,unique_values
prop_con_fhd,float64,1828629,99.2755,73
prop_evidencia,float64,1825875,99.1259,143
prop_laco_n,float64,1820173,98.8164,209
prop_grav_mioc,float64,1818251,98.712,58
prop_grav_ast,float64,1818242,98.7115,77
prop_grav_orgao,float64,1818242,98.7115,163
prop_grav_sang,float64,1818239,98.7114,46
prop_grav_metro,float64,1818233,98.7111,94
prop_grav_consc,float64,1818209,98.7098,184
prop_grav_ench,float64,1818207,98.7096,144
prop_grav_hemat,float64,1818200,98.7093,124
prop_grav_melen,float64,1818200,98.7093,116
prop_grav_conv,float64,1818195,98.709,89
prop_grav_extre,float64,1818195,98.709,166
prop_grav_insuf,float64,1818193,98.7089,146
prop_grav_hipot,float64,1818188,98.7086,147
prop_grav_taqui,float64,1818171,98.7077,191
prop_grav_pulso,float64,1818159,98.707,148
prop_plasmatico,float64,1813833,98.4722,326
prop_mani_hemor,float64,1810715,98.3029,366
prop_alrm_hepat,float64,1771050,96.1495,382
prop_alrm_hemat,float64,1771018,96.1478,733
prop_alrm_liq,float64,1771006,96.1471,491
prop_alrm_letar,float64,1770895,96.1411,898
prop_alrm_hipot,float64,1770825,96.1373,988
prop_alrm_vom,float64,1770825,96.1373,1010
prop_alrm_sang,float64,1770739,96.1326,1056
prop_alrm_abdom,float64,1770543,96.122,1304
prop_alrm_plaq,float64,1770526,96.1211,1379
prop_sangram,float64,1640365,89.0547,848
prop_metro,float64,1640221,89.0469,852
prop_hematura,float64,1640220,89.0468,777
prop_plaq_menor,float64,1615634,87.712,5
prop_gengivo,float64,1575836,85.5514,1421
prop_petequias,float64,1574950,85.5033,2320
prop_epistaxe,float64,1574289,85.4674,1632
prop_acido_pept,float64,999510,54.263,4258
prop_auto_imune,float64,999510,54.263,4198
prop_diabetes,float64,999510,54.263,7750
prop_hematolog,float64,999510,54.263,4066
prop_hepatopat,float64,999510,54.263,4091
prop_hipertensa,float64,999510,54.263,10519
prop_renal,float64,999510,54.263,3831
prop_artrite,float64,999505,54.2627,12160
prop_conjuntvit,float64,999505,54.2627,8295
prop_dor_costas,float64,999505,54.2627,15980
prop_dor_retro,float64,999505,54.2627,15560
prop_leucopenia,float64,999505,54.2627,9281
prop_nausea,float64,999505,54.2627,15751
prop_petequia_n,float64,999505,54.2627,10680
prop_vomito,float64,999505,54.2627,13597
prop_laco,float64,925534,50.2468,8802
prop_artralgia,float64,749013,40.6636,16467
prop_exantema,float64,748518,40.6367,14672
prop_mialgia,float64,747638,40.5889,15249
prop_cefaleia,float64,745399,40.4674,15132
prop_febre,float64,744487,40.4179,14418
prop_hospitalizado,float64,666988,36.2105,9189
prop_obito_agravo,float64,609247,33.0757,2372
prop_obito_outras_causas,float64,609247,33.0757,1857
prop_criterio_clinico,float64,471972,25.6231,4528
prop_criterio_clinico_epi,float64,471972,25.6231,22025
prop_criterio_lab,float64,471972,25.6231,21957
prop_chikungunya,float64,295355,16.0347,1
prop_confirmado_provavel,float64,295355,16.0347,20080
prop_dengue_alarme,float64,295355,16.0347,6687
prop_dengue_grave,float64,295355,16.0347,2631
prop_descartado,float64,295355,16.0347,2928
prop_inconclusivo,float64,295355,16.0347,12822
prop_gestante,float64,273304,14.8376,6288
idade_media_anos,float64,273204,14.8321,182359
prop_raca_amarela,float64,110520,6.0001,7390
prop_raca_branca,float64,110520,6.0001,23530
prop_raca_indigena,float64,110520,6.0001,4297
prop_raca_parda,float64,110520,6.0001,22861
prop_raca_preta,float64,110520,6.0001,11473
prop_sexo_fem,float64,57,0.0031,14881
prop_sexo_masc,float64,57,0.0031,14890
atraso_notificacao_medio_dias,float64,4,0.0002,86996
ano,int64,0,0.0,28
ano_semana,object,0,0.0,1377
ibge_municipio,object,0,0.0,5565
municipio,object,0,0.0,5292
municipio_resolution,object,0,0.0,3
municipio_source_field,object,0,0.0,2
notificacoes,int64,0,0.0,2719
qt_chikungunya,int64,0,0.0,1
qt_confirmados_provaveis,int64,0,0.0,2306
qt_dengue_alarme,int64,0,0.0,256
qt_dengue_grave,int64,0,0.0,47
qt_descartados,int64,0,0.0,116
qt_hospitalizados,int64,0,0.0,279
qt_inconclusivos,int64,0,0.0,976
qt_obitos_agravo,int64,0,0.0,33
qt_obitos_outras_causas,int64,0,0.0,13
regiao,object,0,0.0,5
semana_epidemiologica,int64,0,0.0,53
source_year,int64,0,0.0,27
uf,object,0,0.0,27
week_start,object,0,0.0,1374
